토너먼트 대진기준,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1930 우루과이, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
1934 이탈리아, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
1938 프랑스, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
1950 브라질, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,  
1954 스위스,A1,B1,C1,D1,A2,B2,C2,D2, , , , , , , , , , , , , , , , ,w59,w58,w60,w57,w61,w62,w63,w64
1958 스웨덴,B1,A2,D1,C2,A1,B2,C1,D2, , , , , , , , , , , , , , , , ,w57,w59,w60,w58,w61,w62,w63,w64
1962 칠레,C2,D1,A2,B1,C1,D2,B2,A1, , , , , , , , , , , , , , , , ,w58,w60,w59,w57,w61,w62,w63,w64
1966 잉글랜드,B1,A2,D1,C2,A1,B2,C1,D2, , , , , , , , , , , , , , , , ,w58,w59,w60,w57,w61,w62,w63,w64
1970 멕시코,C1,D2,B2,A1,B1,A2,D1,C2, , , , , , , , , , , , , , , , ,w58,w60,w59,w57,w61,w62,w63,w64
1974 서독,P1,P2,Q2,Q1, , , , , , , , , , , , , , , , , , , , , , , , , , ,w63,w64
1978 아르헨티나,P1,Q2,P2,Q1, , , , , , , , , , , , , , , , , , , , , , , , , , ,w63,w64
1982 스페인,P1,R1,Q1,S1, , , , , , , , , , , , , , , , , , , , , , , , ,w61,w62,w63,w64
1986 멕시코,A1,E3,F2,B2,E1,D2,C1,B3,A2,C2,D1,F3,B1,A3,F1,E2,w52,w55,w56,w50,w53,w51,w49,w54,w59,w60,w57,w58,w61,w62,w63,w64
1990 이탈리아,B2,F2,A1,E3,C1,B3,E1,D2,B1,D3,F1,E2,A2,C2,D1,F3,w53,w54,w51,w55,w49,w56,w50,w52,w58,w57,w60,w59,w61,w62,w63,w64
1994 미국,A1,D3,B2,F2,F1,E2,B1,A3,E1,D2,C1,F3,D1,E3,A2,C2,w52,w51,w53,w54,w56,w50,w55,w49,w60,w58,w59,w57,w61,w62,w63,w64
1998 프랑스,A1,B2,D1,C2,E1,F2,H1,G2,B1,A2,C1,D2,F1,E2,G1,H2,w50,w52,w54,w56,w49,w51,w53,w55,w58,w59,w57,w60,w61,w62,w63,w64
2002 한-일,E1,B2,G1,D2,B1,E2,D1,G2,A1,F2,C1,H2,F1,A2,H1,C2,w49,w53,w52,w56,w50,w54,w51,w55,w58,w59,w57,w60,w61,w62,w63,w64
2006 독일,A1,B2,C1,D2,E1,F2,G1,H2,B1,A2,D1,C2,F1,E2,H1,G2,w49,w50,w53,w54,w51,w52,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64
2010 남아프리카공화국,A1,B2,C1,D2,E1,F2,G1,H2,B1,A2,D1,C2,F1,E2,H1,G2,w49,w50,w53,w54,w52,w51,w55,w56,w58,w57,w59,w60,w61,w62,w63,w64
2014 브라질,A1,B2,C1,D2,E1,F2,G1,H2,B1,A2,D1,C2,F1,E2,H1,G2,w49,w50,w53,w54,w51,w52,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64
2018 러시아,A1,B2,C1,D2,E1,F2,G1,H2,B1,A2,D1,C2,F1,E2,H1,G2,w50,w49,w53,w54,w51,w52,w55,w56,w57,w58,w60,w59,w61,w62,w63,w64
2022 카타르,A1,B2,C1,D2,E1,F2,G1,H2,D1,C2,B1,A2,F1,E2,H1,G2,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
