토너먼트 대진기준,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1977 튀니지,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1979 일본,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1981 호주,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1983 멕시코,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1985 소련,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1987 칠레,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1989 사우디,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1991 포르투갈,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1993 호주,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1995 카타르,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
1997 말레이시아,D1,E3,C2,A2,F1,E2,B1,A3,A1,C3,F2,B2,E1,D2,C1,F3,w56,w52,w54,w49,w50,w51,w53,w55,w59,w58,w57,w60,w61,w62,w63,w64
1999 나이지리아,D1,E3,C2,A2,F1,E2,B1,A3,A1,D3,F2,B2,E1,D2,C1,B3,w56,w49,w54,w50,w51,w52,w53,w55,w58,w60,w57,w59,w61,w62,w63,w64
2001 아르헨티나,D1,E3,C2,A2,F1,E2,B1,D3,A1,C3,F2,B2,E1,D2,C1,F3,w54,w49,w56,w52,w50,w51,w55,w53,w60,w58,w57,w59,w61,w62,w63,w64
2003 아랍에미맅,D1,F3,C2,A2,F1,E2,B1,D3,A1,C3,F2,B2,E1,D2,C1,A3,w49,w53,w52,w51,w50,w55,w56,w54,w60,w58,w57,w59,w61,w62,w63,w64
2005 네덜란드,B1,D3,F1,E2,E1,D2,C1,B3,C2,A2,D1,E3,F2,B2,A1,C3,w51,w52,w55,w56,w50,w49,w53,w54,w58,w60,w57,w59,w61,w62,w63,w64
2007 캐나다,A2,C2,D1,B3,B1,D3,F1,E2,A1,C3,B2,F2,E1,D2,C1,A3,w49,w50,w51,w52,w56,w53,w54,w55,w57,w58,w59,w60,w61,w62,w63,w64
2009 이집트,A2,C2,D1,F3,B1,A3,F1,E2,E1,D2,C1,B3,B2,F2,A1,E3,w50,w51,w49,w53,w54,w56,w55,w52,w57,w58,w59,w60,w61,w62,w63,w64
2011 콜롬비아,B1,D3,F1,E2,A2,C2,D1,F3,B2,F2,A1,C3,E1,D2,C1,A3,w49,w50,w56,w53,w51,w52,w55,w54,w57,w59,w58,w60,w61,w62,w63,w64													
2013 튀르키예,A2,C2,D1,F3,B1,A3,F1,E2,E1,D2,C1,B3,B2,F2,A1,D3,w52,w50,w53,w54,w56,w55,w51,w49,w57,w60,w59,w58,w61,w62,w63,w64
2015 뉴질랜드,E1,D2,C1,A3,B2,F2,A1,C3,A2,C2,D1,E3,B1,D3,F1,E2,w56,w55,w53,w52,w51,w50,w49,w54,w57,w60,w59,w58,w61,w62,w63,w64
2017 대한민국,A2,C2,D1,F3,B1,D3,F1,E2,E1,D2,C1,B3,B2,F2,A1,C3,w50,w51,w49,w56,w55,w53,w54,w52,w58,w57,w59,w60,w61,w62,w63,w64
2019 폴란드,B1,A3,F1,E2,A2,C2,D1,E3,C1,B3,E1,D2,A1,D3,B2,F2,w49,w56,w50,w51,w52,w55,w53,w54,w58,w57,w59,w60,w61,w62,w63,w64
2021 인도네시아,,,,,,,,,,,,,,,,,w49,w50,w53,w54,w51,w52,w55,w56,w58,w57,w60,w59,w61,w62,w63,w64
2023 아르헨티나,B1,A3,F1,E2,A2,C2,D1,E3,C1,B3,E1,D2,A1,D3,B2,F2,w49,w55,w50,w51,w52,w53,w54,w56,w60,w57,w58,w59,w61,w62,w63,w64
