년도,날짜,시간,구장,팀1,팀2,조,경기,결과,경고
1954,06.16,18:00,스타드 드 샤르밀 (제네바),브라질,멕시코,A조,A13,5:0,
1954,06.16,18:00,스타드 올랭피크 드 라 퐁테즈 (로잔),유고,프랑스,A조,A42,1:0,
1954,06.16,18:00,방크도르프슈타디온 (베른),우루과이,체코,C조,C14,2:0,
1954,06.16,18:00,하르투름 (취리히),오스트리아,스코틀랜드,C조,C23,1:0,
1954,06.17,17:50,스타드 올랭피크 드 라 퐁테즈 (로잔),스위스,이탈리아,D조,D32,2:1,
1954,06.17,18:00,방크도르프슈타디온 (베른),서독,튀르키예,B조,B32,4:1,
1954,06.17,18:00,하르투름 (취리히),헝가리,대한민국,B조,B14,9:0,
1954,06.17,18:10,장크트 야콥 경기장 (바젤),잉글랜드,벨기에,D조,D14,3:3_1:1,
1954,06.19,16:50,장크트 야콥 경기장 (바젤),우루과이,스코틀랜드,C조,C13,7:0,
1954,06.19,17:00,스타드 올랭피크 드 라 퐁테즈 (로잔),브라질,유고,A조,A14,1:1_0:0,
1954,06.19,17:00,하르투름 (취리히),오스트리아,체코,C조,C24,5:0,
1954,06.19,17:10,스타드 드 샤르밀 (제네바),프랑스,멕시코,A조,A23,3:2,
1954,06.20,16:50,장크트 야콥 경기장 (바젤),헝가리,서독,B조,B13,8:3,
1954,06.20,17:00,스타드 드 샤르밀 (제네바),튀르키예,대한민국,B조,B24,7:0,
1954,06.20,17:00,코르나레도 스타디움 (루가노),이탈리아,벨기에,D조,D24,4:1,
1954,06.20,17:10,방크도르프슈타디온 (베른),잉글랜드,스위스,D조,D13,2:0,
1954,06.23,18:00,스타드 드 샤르밀 (취리히),서독,튀르키예,Bpo,B32,7:2,
1954,06.23,18:00,장크트 야콥 경기장 (바젤),스위스,이탈리아,Dpo,D32,4:1,
1954,06.26,17:00,스타드 올랭피크 드 라 퐁테즈 (로잔),오스트리아,스위스,w57,C2D2,7:5,
1954,06.26,17:00,장크트 야콥 경기장 (바젤),우루과이,잉글랜드,w58,C1D1,4:2,
1954,06.27,17:00,방크도르프슈타디온 (베른),브라질,헝가리,w59,A1B1,2:4,
1954,06.27,17:00,스타드 드 샤르밀 (제네바),유고,서독,w60,A2B2,0:2,
