년도,날짜,시간,구장,팀1,팀2,조,경기,결과,경고
1997,06.16,21:00,샤알람 스타디움 (샤알람),말레이시아,모로코,A조,A42,1:3,
1997,06.17,20:00,샤알람 스타디움 (샤알람),우루과이,벨기에,A조,A13,3:0,
1997,06.19,17:30,샤알람 스타디움 (샤알람),말레이시아,우루과이,A조,A41,1:3,
1997,06.19,20:00,샤알람 스타디움 (샤알람),모로코,벨기에,A조,A23,1:1,
1997,06.22,17:30,샤알람 스타디움 (샤알람),말레이시아,벨기에,A조,A43,0:3,
1997,06.22,20:00,샤알람 스타디움 (샤알람),모로코,우루과이,A조,A21,0:0,
1997,06.17,16:30,사라왁 스타디움 (쿠칭),대한민국,남아공화국,B조,B43,0:0,
1997,06.17,20:45,사라왁 스타디움 (쿠칭),프랑스,브라질,B조,B21,0:3,
1997,06.19,16:30,사라왁 스타디움 (쿠칭),대한민국,프랑스,B조,B42,2:4,
1997,06.19,19:15,사라왁 스타디움 (쿠칭),남아공화국,브라질,B조,B31,0:2,
1997,06.22,16:30,사라왁 스타디움 (쿠칭),대한민국,브라질,B조,B41,3:10,
1997,06.22,19:15,사라왁 스타디움 (쿠칭),남아공화국,프랑스,B조,B32,2:4,
1997,06.17,17:30,다룰 아만 스타디움 (알로르스타르),가나,아일랜드,C조,C12,2:1,
1997,06.17,20:00,다룰 아만 스타디움 (알로르스타르),중국,미국,C조,C43,0:1,
1997,06.19,17:30,다룰 아만 스타디움 (알로르스타르),가나,중국,C조,C14,1:1,
1997,06.19,20:00,다룰 아만 스타디움 (알로르스타르),아일랜드,미국,C조,C23,2:1,
1997,06.22,17:30,다룰 아만 스타디움 (알로르스타르),가나,미국,C조,C13,1:0,
1997,06.22,20:00,다룰 아만 스타디움 (알로르스타르),아일랜드,중국,C조,C24,1:1,
1997,06.18,17:30,다룰 막무르 스타디움 (쿠안탄),일본,스페인,D조,D21,1:2,
1997,06.18,20:00,다룰 막무르 스타디움 (쿠안탄),코스타리카,파라과이,D조,D43,1:1,
1997,06.20,17:30,다룰 막무르 스타디움 (쿠안탄),일본,코스타리카,D조,D24,6:2,
1997,06.20,20:00,다룰 막무르 스타디움 (쿠안탄),스페인,파라과이,D조,D13,2:1,
1997,06.23,17:30,다룰 막무르 스타디움 (쿠안탄),일본,파라과이,D조,D23,3:3,
1997,06.23,20:00,다룰 막무르 스타디움 (쿠안탄),스페인,코스타리카,D조,D14,4:0,
1997,06.18,17:30,투앙쿠 셰드 푸트라 스타디움 (캉아르),헝가리,아르헨티나,E조,E42,0:3,
1997,06.18,20:00,투앙쿠 셰드 푸트라 스타디움 (캉아르),호주,캐나다,E조,E13,0:0,
1997,06.20,17:30,투앙쿠 셰드 푸트라 스타디움 (캉아르),헝가리,호주,E조,E41,0:1,
1997,06.20,20:00,투앙쿠 셰드 푸트라 스타디움 (캉아르),아르헨티나,캐나다,E조,E23,2:1,
1997,06.23,17:30,투앙쿠 셰드 푸트라 스타디움 (캉아르),헝가리,캐나다,E조,E43,1:2,
1997,06.23,20:00,투앙쿠 셰드 푸트라 스타디움 (캉아르),아르헨티나,호주,E조,E21,3:4,
1997,06.18,17:30,탄 스리 다토 하지 하산 유노스 스타디움 (조호르바루),멕시코,아랍에미맅,F조,F23,5:0,
1997,06.18,20:00,탄 스리 다토 하지 하산 유노스 스타디움 (조호르바루),코트디봐르,잉글랜드,F조,F41,1:2,
1997,06.20,17:30,탄 스리 다토 하지 하산 유노스 스타디움 (조호르바루),멕시코,코트디봐르,F조,F24,1:1,
1997,06.20,20:00,탄 스리 다토 하지 하산 유노스 스타디움 (조호르바루),아랍에미맅,잉글랜드,F조,F31,0:5,
1997,06.23,17:30,탄 스리 다토 하지 하산 유노스 스타디움 (조호르바루),멕시코,잉글랜드,F조,F21,0:1,
1997,06.23,20:00,탄 스리 다토 하지 하산 유노스 스타디움 (조호르바루),아랍에미맅,코트디봐르,F조,F34,2:0,
1997,06.25,16:15,사라왁 스타디움 (쿠칭),브라질,벨기에,w49,B1A3,10:0,
