year,grp,name,code,team
1954,A01,브라질,BRA,브라질
1954,A02,프랑스,FRA,프랑스
1954,A03,멕시코,MEX,멕시코
1954,A04,유고,SRB,유고슬라비아
1954,B01,헝가리,HUN,헝가리
1954,B02,튀르키예,TUR,튀르키예
1954,B03,서독,GER,서독
1954,B04,대한민국,KOR,대한민국
1954,C01,우루과이,URU,우루과이
1954,C02,오스트리아,AUT,오스트리아
1954,C03,스코틀랜드,SCO,스코틀랜드
1954,C04,체코,CZE,체코슬로바키아
1954,D01,잉글랜드,ENG,잉글랜드
1954,D02,이탈리아,ITA,이탈리아
1954,D03,스위스,SUI,스위스
1954,D04,벨기에,BEL,벨기에
1958,A01,서독,GER,서독
1958,A02,체코,CZE,체코슬로바키아
1958,A03,북아일랜드,NIR,북아일랜드
1958,A04,아르헨티나,ARG,아르헨티나
1958,B01,프랑스,FRA,프랑스
1958,B02,유고,SRB,유고슬라비아
1958,B03,스코틀랜드,SCO,스코틀랜드
1958,B04,파라과이,PAR,파라과이
1958,C01,스웨덴,SWE,스웨덴
1958,C02,헝가리,HUN,헝가리
1958,C03,웨일스,WAL,웨일스
1958,C04,멕시코,MEX,멕시코
1958,D01,오스트리아,AUT,오스트리아
1958,D02,소련,USS,소련
1958,D03,잉글랜드,ENG,잉글랜드
1958,D04,브라질,BRA,브라질
1962,A01,우루과이,URU,우루과이
1962,A02,소련,USS,소련
1962,A03,유고,SRB,유고슬라비아
1962,A04,콜롬비아,COL,콜롬비아
1962,B01,칠레,CHI,칠레
1962,B02,서독,GER,서독
1962,B03,이탈리아,ITA,이탈리아
1962,B04,스위스,SUI,스위스
1962,C01,브라질,BRA,브라질
1962,C02,체코,CZE,체코슬로바키아
1962,C03,스페인,ESP,스페인
1962,C04,멕시코,MEX,멕시코
1962,D01,아르헨티나,ARG,아르헨티나
1962,D02,잉글랜드,ENG,잉글랜드
1962,D03,헝가리,HUN,헝가리
1962,D04,불가리아,BUL,불가리아
1966,A01,우루과이,URU,우루과이
1966,A02,잉글랜드,ENG,잉글랜드
1966,A03,프랑스,FRA,프랑스
1966,A04,멕시코,MEX,멕시코
1966,B01,아르헨티나,ARG,아르헨티나
1966,B02,서독,GER,서독
1966,B03,스페인,ESP,스페인
1966,B04,스위스,SUI,스위스
1966,C01,브라질,BRA,브라질
1966,C02,헝가리,HUN,헝가리
1966,C03,포르투갈,POR,포르투갈
1966,C04,불가리아,BUL,불가리아
1966,D01,칠레,CHI,칠레
1966,D02,소련,USS,소련
1966,D03,이탈리아,ITA,이탈리아
1966,D04,북한,PRK,조선민주주의인민공화국
1970,A01,소련,USS,소련
