year,grp,name,code,team
1997,A01,우루과이,URU,우루과이
1997,A02,모로코,MAR,모로코
1997,A03,벨기에,BEL,벨기에
1997,A04,말레이시아,MAS,말레이시아
1997,B01,브라질,BRA,브라질
1997,B02,프랑스,FRA,프랑스
1997,B03,남아공화국,RSA,남아공화국
1997,B04,대한민국,KOR,대한민국
1997,C01,가나,GHA,가나
1997,C02,아일랜드,IRL,아일랜드
1997,C03,미국,USA,미국
1997,C04,중국,CHN,중국
1997,D01,스페인,ESP,스페인
1997,D02,일본,JPN,일본
1997,D03,파라과이,PAR,파라과이
1997,D04,코스타리카,CRC,코스타리카
1997,E01,호주,AUS,호주
1997,E02,아르헨티나,ARG,아르헨티나
1997,E03,캐나다,CAN,캐나다
1997,E04,헝가리,HUN,헝가리
1997,F01,잉글랜드,ENG,잉글랜드
1997,F02,멕시코,MEX,멕시코
1997,F03,아랍에미맅,UAE,아랍에미맅
1997,F04,코트디봐르,CIV,코트디봐르
1999,A01,파라과이,PAR,파라과이
1999,A02,나이지리아,NGA,나이지리아
1999,A03,코스타리카,CRC,코스타리카
1999,A04,독일,GER,독일
1999,B01,가나,GHA,가나
1999,B02,크로아티아,CRO,크로아티아
1999,B03,아르헨티나,ARG,아르헨티나
1999,B04,카자흐스탄,KAZ,카자흐스탄
1999,C01,멕시코,MEX,멕시코
1999,C02,아일랜드,IRL,아일랜드
1999,C03,호주,AUS,호주
1999,C04,사우디,KSA,사우디
1999,D01,말리,MLI,말리
1999,D02,포르투갈,POR,포르투갈
1999,D03,우루과이,URU,우루과이
1999,D04,대한민국,KOR,대한민국
1999,E01,일본,JPN,일본
1999,E02,미국,USA,미국
1999,E03,카메룬,CMR,카메룬
1999,E04,잉글랜드,ENG,잉글랜드
1999,F01,스페인,ESP,스페인
1999,F02,브라질,BRA,브라질
1999,F03,잠비아,ZAM,잠비아
1999,F04,온두라스,HON,온두라스
2001,A01,아르헨티나,ARG,아르헨티나
2001,A02,이집트,EGY,이집트
2001,A03,핀란드,FIN,핀란드
2001,A04,자메이카,JAM,자메이카
2001,B01,브라질,BRA,브라질
2001,B02,독일,GER,독일
2001,B03,이라크,IRQ,이라크
2001,B04,캐나다,CAN,캐나다
2001,C01,우크라이나,UKR,우크라이나
2001,C02,미국,USA,미국
2001,C03,중국,CHN,중국
2001,C04,칠레,CHI,칠레
